iter	Passed	Remaining
0	185	185621
1	287	143355
2	988	328591
3	1090	271525
4	1292	257157
5	1841	305112
6	1958	277875
7	2068	256450
8	2167	238669
9	2261	223915
10	2466	221765
11	2593	213565
12	2717	206297
13	2834	199620
14	2911	191162
15	3006	184907
16	3083	178270
17	3157	172249
18	3282	169468
19	3472	170155
20	3633	169383
21	3848	171085
22	3971	168699
23	4276	173898
24	4362	170128
25	4506	168838
26	4684	168809
27	4813	167097
28	4891	163785
29	4975	160884
30	5068	158442
31	5152	155869
32	5236	153446
33	5324	151280
34	5446	150154
35	5566	149048
36	5651	147090
37	5728	145011
38	5842	143976
39	5918	142036
40	6323	147901
41	6402	146048
42	6488	144411
43	6595	143304
44	6692	142033
45	6798	140990
46	6903	139971
47	6990	138650
48	7084	137503
49	7171	136261
50	7249	134899
51	7366	134289
52	7454	133193
53	7531	131948
54	7618	130905
55	7708	129935
56	7828	129511
57	7928	128770
58	8005	127681
59	8098	126875
60	8183	125976
61	8265	125041
62	8391	124813
63	8468	123847
64	8543	122900
65	8629	122114
66	8732	121603
67	8842	121199
68	8935	120559
69	9025	119916
70	9104	119125
71	9180	118327
72	9261	117607
73	9390	117512
74	9468	116777
75	9552	116134
76	9652	115708
77	9838	116290
78	9956	116075
79	10055	115643
80	10134	114982
81	10247	114722
82	10348	114333
83	10503	114541
84	10598	114085
85	10689	113611
86	10781	113140
87	10876	112719
88	10970	112295
89	11080	112035
90	11216	112042
91	11324	111766
92	11492	112082
93	11599	111797
94	11700	111457
95	11797	111093
96	11937	111129
97	12051	110924
98	12131	110413
99	12222	110006
100	12312	109590
101	12434	109473
102	12546	109262
103	12645	108946
104	12764	108804
105	12842	108315
106	12970	108251
107	13050	107790
108	13131	107342
109	13238	107108
110	13316	106651
111	13393	106191
112	13535	106246
113	13607	105752
114	13683	105304
115	13782	105029
116	13865	104639
117	13979	104492
118	14109	104458
119	14184	104021
120	14263	103620
121	14358	103332
122	14488	103303
123	14578	102988
124	14666	102664
125	14742	102263
126	14837	101990
127	14921	101652
128	15052	101634
129	15147	101373
130	15231	101036
131	15318	100727
132	15394	100354
133	15473	99997
134	15594	99919
135	15668	99543
136	15748	99205
137	15827	98866
138	15901	98496
139	16007	98331
140	16108	98138
141	16182	97776
142	16257	97432
143	16356	97229
144	16437	96925
145	16583	97003
146	16672	96743
147	16753	96445
148	16836	96158
149	16922	95896
150	17016	95678
151	17114	95479
152	17202	95234
153	17279	94923
154	17362	94655
155	17441	94360
156	17518	94062
157	17666	94145
158	17745	93863
159	17824	93580
160	17921	93391
161	18001	93117
162	18102	92955
163	18210	92830
164	18286	92542
165	18366	92273
166	18456	92062
167	18547	91851
168	18708	91990
169	18791	91746
170	18871	91490
171	18961	91279
172	19043	91035
173	19152	90919
174	19276	90872
175	19352	90603
176	19437	90378
177	19523	90158
178	19603	89914
179	19771	90068
180	19847	89808
181	19936	89606
182	20019	89374
183	20120	89228
184	20199	88984
185	20302	88852
186	20387	88638
187	20472	88425
188	20556	88207
189	20635	87974
190	20719	87758
191	20933	88096
192	21010	87853
193	21087	87612
194	21178	87430
195	21254	87187
196	21384	87165
197	21482	87014
198	21564	86800
199	21647	86589
200	21729	86378
201	21814	86176
202	21990	86338
203	22070	86116
204	22155	85919
205	22237	85713
206	22312	85477
207	22404	85310
208	22520	85233
209	22626	85118
210	22711	84926
211	22804	84764
212	22891	84580
213	23066	84721
214	23150	84526
215	23234	84333
216	23323	84157
217	23402	83949
218	23498	83801
219	23604	83689
220	23687	83495
221	23767	83293
222	23866	83156
223	23959	83002
224	24146	83171
225	24226	82972
226	24303	82760
227	24383	82561
228	24471	82392
229	24580	82290
230	25006	83248
231	25356	83939
232	25484	83891
233	25889	84750
234	25987	84597
235	26077	84420
236	26168	84247
237	26350	84366
238	26441	84193
239	26539	84040
240	26661	83968
241	26812	83983
242	26920	83864
243	27005	83672
244	27089	83480
245	27182	83314
246	27257	83096
247	27455	83252
248	27534	83047
249	27611	82833
250	27699	82656
251	27781	82462
252	27886	82336
253	27999	82235
254	28080	82039
255	28169	81867
256	28255	81688
257	28332	81483
258	28569	81736
259	28647	81535
260	28723	81328
261	28806	81140
262	28885	80944
263	28968	80760
264	29113	80748
265	29371	81047
266	29466	80893
267	29689	81091
268	29781	80929
269	29863	80742
270	29962	80598
271	30039	80399
272	30174	80354
273	30281	80234
274	30892	81442
275	30978	81262
276	31065	81083
277	31160	80926
278	31253	80764
279	31376	80683
280	31476	80540
281	31559	80354
282	31657	80205
283	31742	80026
284	31886	79995
285	32009	79911
286	32095	79735
287	32191	79585
288	32271	79393
289	32353	79209
290	32482	79141
291	32589	79018
292	32668	78827
293	32756	78659
294	32837	78475
295	33065	78641
296	33162	78494
297	33246	78319
298	33341	78168
299	33425	77992
300	33567	77951
301	33721	77939
302	33823	77804
303	33914	77645
304	33997	77470
305	34281	77750
306	34366	77576
307	34453	77408
308	34546	77255
309	34629	77078
310	34759	77007
311	34940	77048
312	35028	76884
313	35110	76706
314	35373	76922
315	35470	76777
316	35557	76611
317	35646	76450
318	35731	76279
319	35836	76152
320	36050	76255
321	36177	76175
322	36264	76010
323	36428	76005
324	36638	76094
325	36716	75911
326	36797	75732
327	36896	75592
328	37022	75507
329	37152	75430
330	37252	75292
331	37337	75125
332	37429	74971
333	37630	75035
334	37729	74896
335	37818	74736
336	37926	74615
337	38009	74444
338	38107	74304
339	38218	74189
340	38299	74015
341	38391	73863
342	38481	73709
343	38577	73566
344	38799	73662
345	38891	73511
346	38978	73351
347	39066	73194
348	39150	73028
349	39264	72919
350	39364	72785
351	39447	72619
352	39543	72478
353	39628	72315
354	39710	72150
355	39986	72334
356	40079	72188
357	40159	72018
358	40267	71898
359	40349	71732
360	40483	71658
361	40585	71528
362	40666	71361
363	40766	71229
364	40848	71064
365	41032	71078
366	41144	70965
367	41228	70805
368	41318	70655
369	41403	70498
370	41491	70345
371	41597	70223
372	41713	70118
373	41793	69953
374	41880	69800
375	41963	69640
376	42046	69483
377	42284	69579
378	42367	69419
379	42446	69255
380	42537	69109
381	42619	68949
382	42732	68840
383	42848	68735
384	42935	68585
385	43023	68436
386	43126	68310
387	43382	68428
388	43477	68290
389	43565	68140
390	43672	68022
391	43766	67882
392	44110	68130
393	44207	67993
394	44292	67840
395	44697	68174
396	44792	68035
397	44882	67887
398	45000	67782
399	45274	67911
400	45418	67844
401	45509	67698
402	45594	67542
403	45859	67653
404	45949	67505
405	46035	67352
406	46129	67210
407	46263	67127
408	46413	67067
409	46500	66915
410	46585	66761
411	46694	66642
412	46772	66478
413	47037	66579
414	47124	66428
415	47214	66282
416	47303	66134
417	47382	65972
418	47498	65862
419	47598	65731
420	47677	65570
421	47771	65430
422	47866	65293
423	48167	65435
424	48269	65305
425	48355	65155
426	48444	65009
427	48526	64853
428	48607	64696
429	48715	64575
430	48814	64444
431	48899	64293
432	48994	64157
433	49084	64013
434	49328	64070
435	49429	63941
436	49520	63798
437	49609	63654
438	49696	63507
439	49776	63351
440	49897	63249
441	49996	63117
442	50076	62963
443	50170	62825
444	50268	62694
445	50526	62762
446	50611	62612
447	50687	62454
448	50780	62316
449	50872	62177
450	50967	62041
451	51097	61949
452	51177	61797
453	51256	61642
454	51348	61505
455	51440	61367
456	51771	61513
457	51865	61378
458	51951	61232
459	52060	61114
460	52143	60965
461	52241	60835
462	52363	60732
463	52502	60649
464	52605	60524
465	52695	60385
466	53008	60500
467	53162	60433
468	53272	60315
469	53352	60163
470	53435	60015
471	53589	59947
472	53683	59812
473	53763	59661
474	53869	59539
475	53948	59389
476	54232	59462
477	54312	59312
478	54394	59163
479	54476	59016
480	54558	58868
481	54643	58725
482	54754	58608
483	54850	58477
484	54932	58330
485	55022	58192
486	55106	58048
487	55363	58086
488	55461	57956
489	55581	57849
490	55669	57710
491	55765	57578
492	55867	57453
493	55974	57334
494	56053	57185
495	56142	57047
496	56229	56908
497	56311	56764
498	56633	56860
499	56747	56747
500	56836	56609
501	56936	56482
502	57020	56339
503	57136	56230
504	57241	56107
505	57323	55964
506	57412	55827
507	57494	55683
508	57574	55538
509	57849	55580
510	57938	55443
511	58018	55298
512	58108	55163
513	58188	55018
514	58283	54888
515	58389	54768
516	58493	54646
517	58584	54512
518	58668	54372
519	58755	54236
520	59040	54280
521	59131	54147
522	59214	54006
523	59339	53904
524	59419	53760
525	59511	53627
526	59627	53517
527	59709	53376
528	59786	53231
529	59878	53099
530	59957	52957
531	60293	53040
532	60585	53083
533	61049	53275
534	61138	53139
535	61232	53006
536	61529	53050
537	61629	52923
538	61709	52779
539	61804	52647
540	61884	52504
541	61989	52381
542	62100	52265
543	62191	52130
544	62277	51992
545	62374	51864
546	62461	51728
547	62830	51823
548	62927	51694
549	63019	51561
550	63122	51437
551	63205	51297
552	63385	51235
553	63489	51112
554	63581	50979
555	63678	50851
556	63759	50709
557	64098	50773
558	64184	50636
559	64265	50494
560	64358	50362
561	64439	50221
562	64577	50125
563	64673	49996
564	64760	49859
565	64877	49747
566	64976	49620
567	65273	49645
568	65367	49513
569	65447	49372
570	65542	49242
571	65623	49103
572	65714	48970
573	65816	48846
574	65909	48715
575	65994	48579
576	66082	48445
577	66170	48311
578	66518	48366
579	66626	48246
580	66710	48109
581	66794	47973
582	66880	47837
583	66961	47698
584	67077	47584
585	67293	47541
586	67392	47416
587	67473	47277
588	67784	47299
589	67882	47172
590	67966	47036
591	68057	46904
592	68145	46771
593	68285	46673
594	68391	46552
595	68471	46413
596	68560	46281
597	68638	46141
598	68863	46100
599	69030	46020
600	69115	45885
601	69199	45749
602	69292	45620
603	69386	45491
604	69505	45379
605	69601	45252
606	69684	45116
607	69765	44980
608	69852	44847
609	69934	44712
610	70346	44787
611	70435	44654
612	70541	44534
613	70632	44404
614	70725	44275
615	70859	44172
616	70945	44039
617	71039	43910
618	71131	43781
619	71213	43646
620	71531	43656
621	71620	43524
622	71717	43398
623	71806	43267
624	71896	43138
625	72004	43018
626	72118	42903
627	72197	42766
628	72283	42634
629	72373	42504
630	72463	42375
631	72838	42412
632	72923	42279
633	73007	42146
634	73111	42024
635	73195	41891
636	73367	41809
637	73473	41688
638	73558	41556
639	73662	41435
640	73749	41304
641	74088	41314
642	74176	41183
643	74266	41054
644	74360	40927
645	74446	40795
646	74553	40675
647	74744	40601
648	74848	40480
649	74930	40347
650	75323	40380
651	75425	40258
652	75515	40128
653	75609	40001
654	75695	39870
655	75781	39739
656	75912	39631
657	76021	39512
658	76120	39388
659	76206	39257
660	76296	39129
661	76635	39128
662	76731	39002
663	76816	38870
664	76907	38743
665	76998	38614
666	77096	38490
667	77215	38376
668	77298	38244
669	77386	38115
670	77473	37986
671	77561	37857
672	77904	37852
673	78001	37727
674	78083	37595
675	78174	37468
676	78260	37338
677	78343	37207
678	78453	37089
679	78566	36972
680	78656	36844
681	78757	36722
682	78843	36593
683	79238	36607
684	79345	36487
685	79435	36359
686	79535	36236
687	79619	36106
688	79730	35988
689	79849	35874
690	79931	35743
691	80013	35612
692	80106	35487
693	80186	35356
694	80526	35339
695	80723	35258
696	80819	35133
697	80907	35005
698	81020	34888
699	81140	34774
700	81236	34650
701	81332	34525
702	81415	34396
703	81813	34398
704	81910	34274
705	81988	34142
706	82077	34015
707	82156	33883
708	82239	33754
709	82363	33641
710	82476	33524
711	82566	33397
712	82654	33270
713	82745	33144
714	83102	33124
715	83198	33000
716	83286	32873
717	83376	32746
718	83463	32619
719	83553	32493
720	83666	32375
721	83760	32251
722	83844	32123
723	83947	32001
724	84040	31877
725	84447	31871
726	84555	31752
727	84649	31627
728	84739	31501
729	84822	31372
730	84911	31246
731	85041	31135
732	85130	31009
733	85222	30884
734	85305	30756
735	85515	30673
736	85762	30604
737	85849	30477
