iter	Passed	Remaining
0	81	81248
1	84	42283
2	91	30353
3	96	24082
4	101	20234
5	108	17915
6	110	15723
7	119	14767
8	124	13697
9	130	12928
10	134	12124
11	139	11499
12	141	10770
13	146	10346
14	153	10092
15	157	9657
16	160	9278
17	167	9154
18	175	9076
19	180	8836
20	183	8562
21	188	8386
22	193	8202
23	198	8066
24	203	7954
25	210	7884
26	217	7837
27	220	7637
28	227	7615
29	247	7987
30	252	7883
31	254	7710
32	259	7618
33	265	7545
34	273	7527
35	287	7710
36	292	7608
37	325	8239
38	360	8870
39	395	9481
40	418	9791
41	433	9880
42	444	9882
43	447	9720
44	454	9640
45	459	9523
46	479	9727
47	491	9753
48	501	9741
49	550	10455
50	558	10384
51	565	10308
52	581	10381
53	680	11928
54	705	12120
55	732	12353
56	798	13206
57	801	13023
58	831	13254
59	854	13392
60	911	14029
61	943	14278
62	1009	15015
63	1030	15075
64	1055	15190
65	1077	15241
66	1122	15628
67	1127	15455
68	1141	15407
69	1146	15225
70	1152	15079
71	1161	14964
72	1166	14806
73	1182	14803
74	1187	14644
75	1189	14464
76	1194	14317
77	1199	14173
78	1202	14016
79	1204	13852
80	1206	13686
81	1210	13552
82	1214	13412
83	1217	13275
84	1221	13150
85	1225	13028
86	1230	12913
87	1237	12827
88	1243	12725
89	1248	12626
90	1250	12495
91	1253	12374
92	1259	12279
93	1262	12166
94	1267	12071
95	1274	12001
96	1280	11918
97	1282	11807
98	1288	11725
99	1295	11655
100	1301	11583
101	1308	11521
102	1313	11440
103	1318	11359
104	1324	11293
105	1330	11217
106	1333	11131
107	1337	11050
108	1343	10985
109	1350	10927
110	1356	10860
111	1362	10804
112	1367	10736
113	1373	10677
114	1380	10624
115	1386	10564
116	1390	10496
117	1397	10442
118	1403	10391
119	1411	10350
120	1413	10266
121	1418	10210
122	1424	10157
123	1430	10109
124	1434	10042
125	1441	10001
126	1447	9952
127	1455	9917
128	1478	9981
129	1486	9951
130	1500	9955
131	1522	10013
132	1537	10022
133	1542	9965
134	1550	9932
135	1553	9867
136	1564	9855
137	1568	9799
138	1570	9727
139	1577	9691
140	1579	9624
141	1582	9564
142	1586	9505
143	1594	9476
144	1597	9417
145	1600	9359
146	1603	9303
147	1609	9267
148	1613	9213
149	1616	9158
150	1619	9105
151	1625	9065
152	1628	9015
153	1631	8963
154	1635	8918
155	1639	8870
156	1642	8821
157	1644	8762
158	1647	8714
159	1651	8671
160	1655	8626
161	1658	8580
162	1662	8535
163	1665	8488
164	1669	8448
165	1674	8411
166	1678	8370
167	1681	8329
168	1689	8309
169	1694	8271
170	1701	8248
171	1707	8217
172	1714	8195
173	1719	8160
174	1723	8125
175	1731	8104
176	1735	8070
177	1737	8025
178	1740	7983
179	1747	7961
180	1753	7936
181	1758	7904
182	1764	7876
183	1768	7844
184	1774	7815
185	1778	7785
186	1784	7756
187	1789	7729
188	1794	7699
189	1799	7670
190	1804	7642
191	1808	7611
192	1813	7583
193	1818	7554
194	1822	7523
195	1827	7495
196	1830	7462
197	1835	7435
198	1839	7402
199	1842	7368
200	1845	7337
201	1848	7303
202	1852	7271
203	1855	7239
204	1858	7206
205	1861	7174
206	1864	7143
207	1867	7111
208	1870	7080
209	1877	7062
210	1896	7091
211	1900	7065
212	1905	7040
213	1909	7014
214	1914	6988
215	1917	6959
216	1919	6925
217	1921	6893
218	1925	6865
219	1928	6838
220	1931	6809
221	1935	6782
222	1938	6754
223	1941	6726
224	1945	6700
225	1949	6675
226	1952	6648
227	1955	6621
228	1958	6592
229	1961	6565
230	1964	6539
231	1967	6514
232	1972	6492
233	1975	6468
234	1979	6444
235	1984	6423
236	1988	6402
237	1995	6387
238	2001	6373
239	2007	6357
240	2011	6334
241	2017	6319
242	2022	6300
243	2024	6271
244	2027	6247
245	2034	6236
246	2037	6210
247	2042	6193
248	2047	6176
249	2051	6153
250	2053	6129
251	2065	6131
252	2093	6181
253	2104	6180
254	2118	6188
255	2128	6185
256	2135	6172
257	2144	6166
258	2166	6199
259	2176	6195
260	2183	6181
261	2185	6155
262	2187	6129
263	2191	6110
264	2196	6091
265	2200	6072
266	2207	6060
267	2213	6045
268	2218	6027
269	2220	6003
270	2223	5980
271	2225	5956
272	2228	5935
273	2232	5915
274	2237	5899
275	2242	5883
276	2249	5870
277	2263	5879
278	2271	5868
279	2279	5860
280	2280	5835
281	2286	5822
282	2295	5815
283	2299	5797
284	2302	5775
285	2307	5760
286	2311	5741
287	2314	5722
288	2318	5703
289	2321	5683
290	2323	5661
291	2326	5641
292	2330	5623
293	2333	5603
294	2336	5583
295	2338	5562
296	2341	5542
297	2344	5522
298	2347	5502
299	2350	5483
300	2353	5466
301	2356	5446
302	2359	5427
303	2361	5406
304	2364	5388
305	2367	5368
306	2370	5351
307	2375	5336
308	2378	5319
309	2382	5301
310	2384	5282
311	2388	5266
312	2392	5250
313	2394	5232
314	2397	5213
315	2400	5195
316	2403	5178
317	2407	5162
318	2410	5145
319	2416	5135
320	2419	5116
321	2420	5096
322	2422	5077
323	2425	5060
324	2427	5041
325	2430	5025
326	2435	5013
327	2440	4999
328	2446	4989
329	2448	4971
330	2454	4961
331	2459	4948
332	2462	4932
333	2466	4918
334	2469	4903
335	2474	4889
336	2477	4873
337	2481	4859
338	2484	4844
339	2488	4829
